Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g101),Error (g262),Error (g240),Error (curve),Error (g207),Error (g95),Error (g287),Error (g14),Error (g72),Reduced Error
1957.0,0.1704,149.38,6.0344,0.033538,0.13001,0.21852,0.32414,0.059789,0.13387,0.11072,0.047185,0.1014,1.1591732191519613
1934.2,0.17226,150.12,5.8774,0.034244,0.1296,0.21853,0.32315,0.060849,0.13393,0.11075,0.046974,0.10119,1.1592218470166804
1975.1,0.17184,148.73,6.1667,0.033073,0.1304,0.21852,0.32525,0.058998,0.13386,0.1107,0.047287,0.10158,1.1596674150797066
1968.7,0.1689,149.76,6.0613,0.033398,0.13001,0.21854,0.32491,0.059604,0.13383,0.11074,0.047276,0.10137,1.1596805982102494
1950.8,0.16925,151.32,5.896,0.034086,0.12951,0.21853,0.32406,0.060698,0.13388,0.11078,0.047098,0.10114,1.1597726738344263
1912.3,0.17203,153.14,5.8326,0.034445,0.12938,0.21855,0.3234,0.061152,0.13392,0.11081,0.046978,0.10117,1.1597949721736311
1965.3,0.16782,151.93,5.859,0.034216,0.12933,0.21855,0.32423,0.060933,0.13386,0.1108,0.047122,0.10105,1.16009083915873
1965.4,0.16779,151.93,5.8563,0.034228,0.12932,0.21855,0.3246,0.06095,0.13386,0.11081,0.04712,0.10104,1.1604782344002262
1959.6,0.17047,149.03,6.0401,0.033516,0.13004,0.21852,0.32555,0.059752,0.13387,0.11072,0.047186,0.1014,1.1605480455651453
1951.9,0.16924,151.13,6.0127,0.033601,0.12986,0.21853,0.32545,0.059927,0.13384,0.11076,0.047221,0.10135,1.1605481765299672
1927.7,0.17111,151.26,5.941,0.033937,0.12971,0.21852,0.32509,0.060418,0.1339,0.11076,0.047072,0.10129,1.1606880059267848
1946.2,0.1702,151.84,6.1044,0.033265,0.13012,0.21852,0.32614,0.059358,0.13383,0.11076,0.047294,0.10153,1.1608229958418097
1941.5,0.17246,151.11,5.8476,0.034396,0.12947,0.21854,0.32465,0.061076,0.13392,0.11078,0.046965,0.10116,1.1609581805379319
1957.0,0.17035,149.36,6.0334,0.03354,0.13001,0.21852,0.32619,0.059794,0.13387,0.11072,0.047185,0.10139,1.1612234134379218
1964.2,0.16934,151.92,5.9764,0.033763,0.12971,0.21852,0.32598,0.060203,0.13384,0.11078,0.047203,0.10127,1.161270377061533
1933.1,0.17012,152.1,6.0269,0.033563,0.12991,0.21852,0.32625,0.059843,0.13385,0.11077,0.047208,0.10145,1.1613558202659504
1967.4,0.16785,151.43,5.861,0.034207,0.12935,0.21855,0.32574,0.060916,0.13387,0.1108,0.047114,0.10105,1.1615839933714829
1964.4,0.16887,151.51,6.1021,0.033248,0.13006,0.21853,0.32716,0.059367,0.13381,0.11077,0.047338,0.10144,1.1617300987218393
1951.5,0.17299,150.01,6.1428,0.033186,0.13036,0.2185,0.32752,0.059158,0.13387,0.11071,0.047226,0.10164,1.1621790612106553
1934.4,0.17186,152.29,5.8559,0.034341,0.12944,0.21853,0.32638,0.061015,0.13391,0.1108,0.047005,0.10117,1.1625878503009148
1968.3,0.17228,149.63,6.0299,0.033614,0.13002,0.2185,0.32753,0.059891,0.13388,0.11072,0.047138,0.10141,1.1627059180216681
1966.8,0.16762,151.75,6.0027,0.033608,0.12974,0.21854,0.32832,0.059987,0.13382,0.11079,0.047284,0.10126,1.1633508723329538
1933.7,0.17017,151.61,5.9316,0.033956,0.12964,0.21852,0.32794,0.06047,0.13388,0.11077,0.047101,0.10125,1.1635341447725651
1937.3,0.17064,151.75,6.1886,0.032966,0.13037,0.21853,0.32939,0.05882,0.13383,0.11075,0.047352,0.10167,1.1636790764010587
1960.2,0.16819,152.22,5.8169,0.03442,0.12922,0.21856,0.3277,0.061213,0.13387,0.11082,0.047077,0.10101,1.1638899116830743
1943.0,0.17265,147.63,6.1846,0.033013,0.13057,0.21852,0.33036,0.05883,0.13389,0.11066,0.047228,0.1017,1.1647764576470934
1959.9,0.16804,151.82,5.8365,0.034323,0.12929,0.21856,0.32935,0.061075,0.13387,0.11081,0.04709,0.10103,1.1653942175784258
1958.2,0.16939,150.15,5.959,0.033826,0.12973,0.21853,0.33013,0.060282,0.13387,0.11075,0.047147,0.10125,1.1655138917756123
1946.8,0.16979,152.53,6.0362,0.033524,0.12989,0.21852,0.33075,0.0598,0.13383,0.11078,0.047248,0.10142,1.165774483431285
1964.7,0.16893,150.56,5.8328,0.034362,0.12934,0.21856,0.32983,0.06111,0.13389,0.11079,0.047043,0.10103,1.1659523454337242
1914.9,0.17282,152.64,6.0971,0.033349,0.13019,0.2185,0.33149,0.059431,0.13387,0.11074,0.047192,0.10167,1.166425931342638
1915.4,0.17128,151.95,6.1267,0.033192,0.13026,0.21852,0.33199,0.05919,0.13385,0.11074,0.047259,0.10166,1.1666590763698943
1955.5,0.1685,151.84,6.1292,0.033134,0.13012,0.21854,0.33285,0.059175,0.1338,0.11078,0.047374,0.10149,1.167262992168987
1937.9,0.17047,150.96,5.8777,0.034196,0.12952,0.21854,0.33145,0.060823,0.1339,0.11077,0.047036,0.10115,1.1673823652109967
1981.9,0.16806,149.35,5.9911,0.033659,0.12979,0.21854,0.33311,0.060057,0.13384,0.11075,0.047224,0.10121,1.1681863749469295
1949.2,0.16849,151.93,5.8667,0.034195,0.12939,0.21854,0.33319,0.060877,0.13387,0.1108,0.047102,0.10109,1.1690503063554316
1968.1,0.16674,152.18,5.9255,0.033905,0.12948,0.21854,0.33388,0.060482,0.13383,0.11081,0.047229,0.10113,1.1692742054393217
1944.8,0.16889,151.79,6.1274,0.033144,0.13015,0.21854,0.33499,0.059177,0.13381,0.11077,0.047351,0.10153,1.169455603881261
