x,y,type,temperature,stress,title,strain_rate
0.002038905,71.18065729,,,,,
0.002046709,71.2508105,,,,,
0.002054513,71.32088682,,,,,
0.002062317,71.39088641,,,,,
0.002070121,71.46080941,,,,,
0.002077925,71.53065598,,,,,
0.002085728,71.60042624,,,,,
0.002093532,71.67012034,,,,,
0.002101336,71.73973843,,,,,
0.002109139,71.80928065,,,,,
0.002116943,71.87874713,,,,,
0.002124746,71.94813801,,,,,
0.002132549,72.01745341,,,,,
0.002140353,72.08669349,,,,,
0.002148156,72.15585837,,,,,
0.002155959,72.22494818,,,,,
0.002163762,72.29396306,,,,,
0.002171565,72.36290313,,,,,
0.002179368,72.43176852,,,,,
0.002187171,72.50055936,,,,,
0.002194974,72.56927578,,,,,
0.002202777,72.6379179,,,,,
0.002210579,72.70648549,,,,,
0.002218382,72.77497958,,,,,
0.002226185,72.8433997,,,,,
0.002233987,72.91174592,,,,,
0.00224179,72.98001855,,,,,
0.002249592,73.04821733,,,,,
0.002257394,73.11634302,,,,,
0.002265197,73.18439509,,,,,
0.002272999,73.25237395,,,,,
0.002280801,73.32027973,,,,,
0.002288603,73.38811253,,,,,
0.002296405,73.45587247,,,,,
0.002304207,73.52355965,,,,,
0.002312009,73.5911742,,,,,
0.002319811,73.65871621,,,,,
0.002327613,73.72618582,,,,,
0.002335414,73.7935831,,,,,
0.002343216,73.86090819,,,,,
0.002351018,73.9281612,,,,,
0.002358819,73.9953422,,,,,
0.002366621,74.06245135,,,,,
0.002374422,74.12948873,,,,,
0.002382224,74.19645443,,,,,
0.002390025,74.26334858,,,,,
0.002397826,74.33017126,,,,,
0.002405627,74.3969226,,,,,
0.002413428,74.4636027,,,,,
0.00242123,74.53021164,,,,,
0.002429031,74.59674955,,,,,
0.002436831,74.66321651,,,,,
0.002444632,74.72961263,,,,,
0.002452433,74.79593801,,,,,
0.002460234,74.86219275,,,,,
0.002468035,74.92837696,,,,,
0.002475835,74.9944907,,,,,
0.002483636,75.06053409,,,,,
0.002491436,75.12650724,,,,,
0.002499237,75.19241025,,,,,
0.002507037,75.25824319,,,,,
0.002514838,75.32400619,,,,,
0.002522638,75.38969928,,,,,
0.002530438,75.45532265,,,,,
0.002538238,75.52087631,,,,,
0.002546038,75.5863604,,,,,
0.002553838,75.65177496,,,,,
0.002561638,75.71712019,,,,,
0.002569438,75.7823961,,,,,
0.002577238,75.84760274,,,,,
0.002585038,75.9127403,,,,,
0.002592838,75.97780884,,,,,
0.002600637,76.04280841,,,,,
0.002608437,76.10773913,,,,,
0.002616236,76.1726011,,,,,
0.002624036,76.23739439,,,,,
0.002631835,76.3021191,,,,,
0.002639635,76.36677531,,,,,
0.002647434,76.43136313,,,,,
0.002655233,76.49588262,,,,,
0.002663032,76.56033389,,,,,
0.002670831,76.62471699,,,,,
0.00267863,76.68903201,,,,,
0.002686429,76.75327906,,,,,
0.002694228,76.8174583,,,,,
0.002702027,76.88156969,,,,,
0.002709826,76.94561334,,,,,
0.002717625,77.00958933,,,,,
0.002725424,77.07349784,,,,,
0.002733222,77.13733885,,,,,
0.002741021,77.20111247,,,,,
0.002748819,77.26481879,,,,,
0.002756618,77.32845792,,,,,
0.002764416,77.39202991,,,,,
0.002772214,77.45553482,,,,,
0.002780013,77.5189728,,,,,
0.002787811,77.58234383,,,,,
0.002795609,77.6456481,,,,,
0.002803407,77.70888563,,,,,
0.002811205,77.77205651,,,,,
0.002819003,77.83516082,,,,,
0.002826801,77.89819864,,,,,
0.002834599,77.96117007,,,,,
0.002842396,78.02407516,,,,,
0.002850194,78.08691399,,,,,
0.002857992,78.14968668,,,,,
0.002865789,78.21239326,,,,,
0.002873587,78.27503383,,,,,
0.002881384,78.33760847,,,,,
0.002889182,78.40011726,,,,,
0.002896979,78.46256028,,,,,
0.002904776,78.52493759,,,,,
0.002912574,78.58724927,,,,,
0.002920371,78.64949539,,,,,
0.002928168,78.71167605,,,,,
0.002935965,78.7737913,,,,,
0.002943762,78.83584125,,,,,
0.002951559,78.89782596,,,,,
0.002959356,78.95974548,,,,,
0.002967152,79.02159994,,,,,
0.002974949,79.08338936,,,,,
0.002982746,79.14511382,,,,,
0.002990542,79.20677342,,,,,
0.002998339,79.26836823,,,,,
0.003006135,79.32989834,,,,,
0.003013932,79.39136378,,,,,
0.003021728,79.45276468,,,,,
0.003029525,79.51410108,,,,,
0.003037321,79.575373,,,,,
0.003045117,79.63658061,,,,,
0.003052913,79.69772394,,,,,
0.003060709,79.75880305,,,,,
0.003068505,79.81981807,,,,,
0.003076301,79.88076898,,,,,
0.003084097,79.94165591,,,,,
0.003091893,80.00247892,,,,,
0.003099688,80.06323808,,,,,
0.003107484,80.1239335,,,,,
0.00311528,80.18456516,,,,,
0.003123075,80.24513328,,,,,
0.003130871,80.30563775,,,,,
0.003138666,80.36607877,,,,,
0.003146462,80.42645634,,,,,
