param_type,param_name,out_u_bound,base,in_l_bound,out_l_bound,in_u_bound
output,g123_phi_2,1,10,0.6021468415396113,0,0.6204379773384615
output,g125_phi_1,1,10,0.3327615356098077,0,0.4003134451403299
output,g125_Phi,1,10,0.4003825480454287,0,0.4210607191918788
output,g125_phi_2,1,10,0.5587085705331657,0,0.5930090051406277
output,g126_phi_1,1,10,0.4116365387564689,0,0.4432786374283154
output,g126_Phi,1,10,0.3719909114649149,0,0.3892724291755531
output,g126_phi_2,1,10,0.6893799035343631,0,0.7021029686899287
output,g128_phi_1,1,10,0.29622628726116057,0,0.3354980184190237
output,g128_Phi,1,10,0.39590273955985733,0,0.40869776889578785
output,g128_phi_2,1,10,0.6517914962067096,0,0.6570749843512107
output,g129_phi_1,1,10,0.36218077659252995,0,0.38379741955666363
output,g129_Phi,1,10,0.31902273343041415,0,0.33152851886869067
output,g129_phi_2,1,10,0.6223383854398897,0,0.6394665670464258
output,g130_phi_1,1,10,-0.12699927762595575,0,-0.10083635852278111
output,g130_Phi,1,10,0.29806670654650785,0,0.3444905192418928
output,g130_phi_2,1,10,0.5115491597450654,0,0.5318236610887989
output,g131_phi_1,1,10,0.28406961171008316,0,0.3142886609474977
output,g131_Phi,1,10,0.302936699704866,0,0.32522822787084965
output,g131_phi_2,1,10,0.5035591791653233,0,0.5360657945120061
output,g132_phi_1,1,10,-0.49437527167212053,0,-0.09492224304158141
output,g132_Phi,1,10,0.38826110054088964,0,0.39494173671335936
output,g132_phi_2,1,10,0.4540975356467135,0,0.5052856741441323
output,g133_phi_1,1,10,-0.4111011206574585,0,-0.21837385615429475
output,g133_Phi,1,10,0.3287872003545346,0,0.36133112513853355
output,g133_phi_2,1,10,0.5414169771918588,0,0.5733242401653763
output,g134_phi_1,1,10,0.37752480067370164,0,0.41375226768254875
output,g134_Phi,1,10,0.3961470193070227,0,0.41229250932304645
output,g134_phi_2,1,10,0.6461095219788479,0,0.6597165878114423
output,g135_phi_1,1,10,-0.1621275957303876,0,-0.0607304136612687
output,g135_Phi,1,10,0.37774324035400625,0,0.39211633381600974
output,g135_phi_2,1,10,0.45446373275113794,0,0.48489747281614626
output,g136_phi_1,1,10,0.08849047018239621,0,0.11122889823415566
output,g136_Phi,1,10,0.19890439945673236,0,0.22649679635551906
output,g136_phi_2,1,10,0.6320319005081859,0,0.6407198856304583
output,g137_phi_1,1,10,0.23016781634619157,0,0.24679391877515494
output,g137_Phi,1,10,0.25256178620632924,0,0.30235257791956255
output,g137_phi_2,1,10,0.5379952947669608,0,0.5543680009900875
output,g138_phi_1,1,10,-3.18620558579601,0,0.7979043160752443
output,g138_Phi,1,10,0.4282806147071767,0,0.4393484860697474
