# strain, stress, energy_density, plastic_work
4.700000000000003481e-02,1.721464668885030491e+01,8.607324506801659197e-03,8.426492078372720476e-03
4.800000000000003569e-02,1.733750650608108046e+01,8.668754415416887391e-03,8.487879851375782631e-03
4.900000000000003658e-02,1.745798884499979664e+01,8.728995584876426614e-03,8.548080596315545121e-03
5.000000000000003747e-02,1.757627187287819126e+01,8.788137098815814591e-03,8.607183173576485671e-03
5.100000000000003836e-02,1.769240998637626205e+01,8.846206155564716178e-03,8.665214714922757355e-03
5.200000000000003925e-02,1.780644381138933596e+01,8.903223068071397517e-03,8.722195479998928053e-03
5.300000000000004013e-02,1.791498756993219743e+01,8.957494947342938343e-03,8.776368996840772790e-03
5.400000000000004102e-02,1.802462812753212873e+01,9.012315226143086805e-03,8.831155789203395598e-03
5.500000000000004191e-02,1.813254643521401022e+01,9.066274379984052070e-03,8.885082623052565146e-03
5.600000000000004280e-02,1.823853240200983095e+01,9.119267363382052224e-03,8.938044451931807105e-03
5.700000000000004369e-02,1.834260122681352811e+01,9.171301775783916033e-03,8.990048843445076418e-03
5.800000000000004458e-02,1.844478619301110811e+01,9.222394258882753854e-03,9.041112398698487873e-03
5.900000000000004546e-02,1.855430807451412889e+01,9.277155199634333840e-03,9.095039744709917939e-03
6.000000000000004635e-02,1.865455987804927318e+01,9.327281101407187969e-03,9.145133142012476166e-03
6.100000000000004724e-02,1.875155134767934584e+01,9.375776836221982879e-03,9.193602801486991730e-03
6.200000000000004813e-02,1.884661728577207995e+01,9.423309805268819880e-03,9.241110783447024565e-03
6.300000000000004208e-02,1.893994489074005827e+01,9.469973607752556199e-03,9.287750518536959030e-03
6.400000000000004297e-02,1.903158233559080514e+01,9.515792330178258346e-03,9.333546049819594487e-03
6.500000000000004385e-02,1.912156222231250169e+01,9.560782273539051093e-03,9.378513645210763069e-03
6.600000000000004474e-02,1.920991499156477644e+01,9.604958658165178853e-03,9.422668494060539371e-03
6.700000000000004563e-02,1.929667035822453158e+01,9.648336341495230076e-03,9.466025424060650617e-03
6.800000000000004652e-02,1.938185747368418532e+01,9.690929899225675728e-03,9.508598982266096636e-03
6.900000000000004741e-02,1.946550495223223010e+01,9.732753638499715143e-03,9.550403448234382614e-03
7.000000000000004829e-02,1.954764088265385169e+01,9.773821603710444728e-03,9.591452839788707635e-03
7.100000000000004918e-02,1.962829283808100200e+01,9.814147581423965025e-03,9.631760917903397015e-03
7.200000000000005007e-02,1.970748788549002839e+01,9.853745105128552256e-03,9.671341191416887514e-03
7.300000000000005096e-02,1.978525259500938915e+01,9.892627459887826796e-03,9.710206921650066034e-03
7.400000000000005185e-02,1.986161304905013480e+01,9.930807686908137838e-03,9.748371126940111667e-03
7.500000000000005274e-02,1.993659485127694708e+01,9.968298588022202547e-03,9.785846587091836038e-03
7.600000000000005362e-02,2.001022313541529485e+01,1.000511273009095821e-02,9.822645847748440531e-03
7.700000000000005451e-02,2.008252257388329198e+01,1.004126244932524066e-02,9.858781224683244720e-03
7.800000000000005540e-02,2.015351738628799083e+01,1.007675985552782330e-02,9.894264808012896012e-03
7.900000000000005629e-02,2.022323134774998721e+01,1.011161683625853326e-02,9.929108466334712890e-03
8.000000000000005718e-02,2.029168779707896775e+01,1.014584506092284545e-02,9.963323850788548611e-03
8.100000000000005806e-02,2.034833019638214680e+01,1.017416626057435214e-02,9.990418147846210142e-03
8.200000000000005895e-02,2.041431608824762733e+01,1.020715920651064403e-02,1.002338956289954182e-02
8.300000000000005984e-02,2.047913323720693768e+01,1.023956778099024446e-02,1.005578653391135842e-02
8.400000000000006073e-02,2.054273284730400917e+01,1.027136758603914082e-02,1.008757527608892396e-02
8.500000000000006162e-02,2.060517882879331353e+01,1.030259057678425266e-02,1.011878760799860347e-02
8.600000000000006251e-02,2.066649920765329895e+01,1.033325076621346636e-02,1.014943752387453303e-02
8.700000000000006339e-02,2.072671537244815809e+01,1.036335884861023723e-02,1.017953570360627912e-02
8.800000000000006428e-02,2.078584751969615496e+01,1.039292492223510209e-02,1.020909223191277145e-02
8.900000000000006517e-02,2.084391537940875594e+01,1.042195885209104382e-02,1.023811696078791994e-02
9.000000000000006606e-02,2.090093830865970759e+01,1.045047031671658862e-02,1.026661955624211253e-02
9.100000000000006695e-02,2.095693530841798236e+01,1.047846881659585117e-02,1.029460950669089728e-02
9.200000000000006783e-02,2.101192503125150424e+01,1.050596367801268256e-02,1.032209612679178476e-02
9.300000000000006872e-02,2.106592578787314096e+01,1.053296405632328514e-02,1.034908856070051140e-02
9.400000000000006961e-02,2.111895555344556286e+01,1.055947893910987728e-02,1.037559578520901374e-02
9.500000000000007050e-02,2.117103197376611590e+01,1.058551714926937552e-02,1.040162661281898542e-02
9.600000000000007139e-02,2.122217237131633283e+01,1.061108734804507361e-02,1.042718969475901584e-02
9.700000000000007228e-02,2.127239375122934817e+01,1.063619803800163258e-02,1.045229352394555500e-02
9.800000000000007316e-02,2.132171280702472771e+01,1.066085756594886517e-02,1.047694643789321561e-02
9.900000000000007405e-02,2.137014592671997448e+01,1.068507412579635871e-02,1.050115662155635780e-02
1.000000000000000749e-01,2.141770919791264660e+01,1.070885576139159016e-02,1.052493211015475064e-02
