param_type,param_name,out_u_bound,out_l_bound,in_u_bound,base,in_l_bound
output,g30_phi_1,1,0,0.20471672740048366,10,0.16462048907971086
output,g30_Phi,1,0,0.2248437167551708,10,0.21388947082633616
output,g30_phi_2,1,0,0.5992278627737964,10,0.5916321595685368
output,g31_phi_1,1,0,-0.39733242160914717,10,-0.4851070739491997
output,g31_Phi,1,0,0.3392327482989612,10,0.3281960599485494
output,g31_phi_2,1,0,0.5075320532526667,10,0.494335512363864
output,g32_phi_1,1,0,0.3240147980362876,10,0.3082655332099329
output,g32_Phi,1,0,0.38505188167065346,10,0.37099393351474386
output,g32_phi_2,1,0,0.653781549143226,10,0.6415732531781754
output,g33_phi_1,1,0,0.18664561059600351,10,0.16283314387816003
output,g33_Phi,1,0,0.22883648752793392,10,0.22026503358723198
output,g33_phi_2,1,0,0.5130843604651442,10,0.5049870873452252
output,g34_phi_1,1,0,-0.039909932095080494,10,-0.1138760418785652
output,g34_Phi,1,0,0.2869726454573743,10,0.2714466138017645
output,g34_phi_2,1,0,0.4443727362482868,10,0.43892189391134095
output,g35_phi_1,1,0,0.5066403055665025,10,0.4706750447989362
output,g35_Phi,1,0,0.4556669551824011,10,0.45200122772659285
output,g35_phi_2,1,0,0.7779630153209424,10,0.762123151874593
output,g36_phi_1,1,0,0.30743185171974635,10,0.2867707367140558
output,g36_Phi,1,0,0.25614022663453295,10,0.2440543485569463
output,g36_phi_2,1,0,0.546789351631258,10,0.5403920487383781
output,g37_phi_1,1,0,0.01657374626912324,10,-0.03407899188926569
output,g37_Phi,1,0,0.436194462320936,10,0.43065544769966474
output,g37_phi_2,1,0,0.46682315106568684,10,0.45919640779810594
output,g38_phi_1,1,0,0.2634940417218824,10,0.23739291526172562
output,g38_Phi,1,0,0.41455555622921497,10,0.4109795758945693
output,g38_phi_2,1,0,0.6048090422595129,10,0.6008204849177148
output,g39_phi_1,1,0,-0.1479594027625082,10,-0.23233219100003083
output,g39_Phi,1,0,0.28153331385737623,10,0.26983970957683934
output,g39_phi_2,1,0,0.447499128735851,10,0.439522162813957
output,g40_phi_1,1,0,0.05736176298503875,10,0.011570443597278159
output,g40_Phi,1,0,0.3885807219746576,10,0.38351017587249325
output,g40_phi_2,1,0,0.49861376469975804,10,0.4837584137882486
output,g41_phi_1,1,0,0.28728653926281206,10,0.2667959598466673
output,g41_Phi,1,0,0.2924997396855805,10,0.28048731376182945
output,g41_phi_2,1,0,0.6532221646565987,10,0.6505988981726569
output,g42_phi_1,1,0,0.2639909326813125,10,0.21803633120094496
output,g42_Phi,1,0,0.2318262586472814,10,0.21653535741835772
output,g42_phi_2,1,0,0.5917100010818441,10,0.5881932465586495
output,g43_phi_1,1,0,-0.23344588142955133,10,-0.3009865683871185
output,g43_Phi,1,0,0.3425805773816271,10,0.3359991776081308
output,g43_phi_2,1,0,0.585663728828571,10,0.5734286281193857
output,g44_phi_1,1,0,0.11617589110034905,10,0.07678603350807921
output,g44_Phi,1,0,0.3998640080468249,10,0.3826832904336428
output,g44_phi_2,1,0,0.586350966176956,10,0.5783182405850075
output,g45_phi_1,1,0,0.028733879349335235,10,-0.010149890396819588
output,g45_Phi,1,0,0.3285630693917175,10,0.3127695570522996
output,g45_phi_2,1,0,0.5167864913925985,10,0.5038451366315616
output,g46_phi_1,1,0,0.41909621737799124,10,0.4045087291032993
output,g46_Phi,1,0,0.37108634249479394,10,0.3605934135652489
output,g46_phi_2,1,0,0.6396856612426814,10,0.6316669471405721
output,g47_phi_1,1,0,0.32207450577378394,10,0.30803055426610576
output,g47_Phi,1,0,0.34281731463573295,10,0.33106270060015247
output,g47_phi_2,1,0,0.6746223508629208,10,0.6694470564025429
output,g48_phi_1,1,0,0.1811859341282298,10,0.15500183623125294
output,g48_Phi,1,0,0.2289390424565416,10,0.21571685524952347
output,g48_phi_2,1,0,0.5958377912496076,10,0.591776711276067
output,g49_phi_1,1,0,0.28440817250619893,10,0.26747680113404887
output,g49_Phi,1,0,0.2990712600274095,10,0.2818511623083168
output,g49_phi_2,1,0,0.6531449516009644,10,0.6505794792506164
output,g50_phi_1,1,0,0.19069579249173216,10,0.15238008704760278
output,g50_Phi,1,0,0.34279759145936756,10,0.3353575901491754
output,g50_phi_2,1,0,0.5165353738957996,10,0.5105450102066121
output,g51_phi_1,1,0,-0.07166560885835963,10,-0.13405550477608374
output,g51_Phi,1,0,0.34429400589831205,10,0.3168296914943079
