strain,strain_intervals,g14_phi_1,g14_Phi,g14_phi_2,g72_phi_1,g72_Phi,g72_phi_2,g95_phi_1,g95_Phi,g95_phi_2,g101_phi_1,g101_Phi,g101_phi_2,g207_phi_1,g207_Phi,g207_phi_2,g240_phi_1,g240_Phi,g240_phi_2,g262_phi_1,g262_Phi,g262_phi_2,g287_phi_1,g287_Phi,g287_phi_2,stress,average_strain,average_stress
0.0812,0.0812,1.297768035202295,2.232077804118338,4.247913057646015,0.09706431565944089,2.895692677143996,1.9060129456284625,1.7349714336434474,1.9797305456402028,3.4309073029188677,1.5699504861748883,2.455435578952458,3.490137429357863,1.9919707049214461,1.8697749725520385,3.794591482055951,2.374188972187356,2.3952393622502504,3.7388506019029926,1.4360130446825625,2.4402073311893484,3.8842396595110413,2.165370989206993,2.3898642615175945,3.6681572934945463,527.3238091784823,0.0812,527.3238091784823
0.0841,0.0841,1.2985020140901475,2.232313657110836,4.248810972182648,0.09625393777183128,2.895904451046959,1.9036326860194785,1.7363406254655087,1.9787624086305329,3.4300691534043333,1.568685107757601,2.456134538857239,3.490961935478723,1.9925282853379547,1.8687936381984203,3.793744220937506,2.374977118822989,2.3945017833044164,3.7381814570331224,1.4381307511641017,2.442016634882049,3.885829857335516,2.165656191646112,2.390120320640507,3.6665518720532404,532.1922507905421,0.0841,532.1922507905421
0.087,0.087,1.29926793423598,2.232539426416776,4.24968743325572,0.09543928766561642,2.8961259881185524,1.9011835434637359,1.7377334823335102,1.9777600127505939,3.4292421683311196,1.5672918311951556,2.4568711889468595,3.4917938989330732,1.9930773983151444,1.8677866288837555,3.7928876888777987,2.375754089775672,2.393770714769745,3.7375440480358253,1.440149919163925,2.443721314411079,3.887453057680418,2.1660018920949398,2.3903442754251434,3.665024227025532,537.94925885126,0.087,537.94925885126
0.0899,0.0899,1.3000173035444358,2.232731260827999,4.2505244962499225,0.09441454681158588,2.8963343409081967,1.8986999386187173,1.7391121336010464,1.9767544194098567,3.428427116212178,1.56585810926465,2.457598413482564,3.492585402819424,1.993613724766373,1.8667640435778003,3.792024951608128,2.376503666527304,2.3930651639596174,3.7369202928260647,1.4420847497152403,2.4453250864652687,3.8890240755024337,2.166374680953025,2.3905579692302,3.663556448382134,543.4327466244731,0.0899,543.4327466244731
0.0928,0.0928,1.3007816438295334,2.2329212883882117,4.251360506440664,0.09336337873505848,2.896544600467306,1.8962068756969837,1.740558400454991,1.975741447153284,3.4276300685324,1.5644434554254771,2.4583501831042534,3.493388011855727,1.9941715823842618,1.8657505112788093,3.7911547819362417,2.3772217497704773,2.392395793750709,3.7363470933134457,1.4440361239918988,2.446886668871488,3.8906090318736735,2.1668195388359948,2.3907857519094353,3.6621625670296187,548.2603553471165,0.0928,548.2603553471165
0.0957,0.0957,1.301542602659758,2.233118684539307,4.252189604366366,0.09247737289354788,2.896756641715181,1.8937982364528119,1.7419932268743958,1.9747586368057408,3.426853290977656,1.5630702857544594,2.4590917757153083,3.494186477697853,1.994723405986579,1.8647693119094002,3.7903080803128004,2.377915831824788,2.3917430501964434,3.735794239209083,1.4459751997707513,2.448434744820206,3.8921784569035007,2.167254121770456,2.3910101151194354,3.6607975305804277,553.2297600097081,0.0957,553.2297600097081
0.0986,0.0986,1.3023200777690687,2.233317231677783,4.253030214375652,0.0917565740224461,2.8969708714265545,1.8914610783116887,1.7434269475926225,1.9738239359791552,3.426103198740119,1.5617403764004358,2.4598238780966897,3.494983188559934,1.99526809872469,1.8638249381398089,3.7894891438320406,2.378593778713117,2.39109886861465,3.7352593840769552,1.4479192442723579,2.449981069353333,3.8937588274998154,2.1676843657614,2.391233143046232,3.6594512547763647,558.4275927531799,0.0986,558.4275927531799
0.10149999999999999,0.10149999999999999,1.3031357355842668,2.2335152685657236,4.253902520419944,0.09128787039412975,2.897178085571783,1.8890752489233158,1.7448904188152285,1.972874327904267,3.4253686574880917,1.5603827628317108,2.460569450874417,3.4957658280914186,1.9958101396690064,1.8628783517799017,3.7886689893953163,2.3792684863557287,2.3904588299860783,3.7347217104417125,1.4498826202187178,2.451518661497827,3.8953322921737987,2.1681884003322187,2.3914690467493416,3.658158286250601,563.7110896585712,0.10149999999999999,563.7110896585712
0.10439999999999999,0.10439999999999999,1.3038839862617235,2.23374694456288,4.254802126122983,0.09072016220545004,2.89737938254233,1.8867404517586104,1.7463829710480343,1.9718840642195044,3.4246010256130974,1.558974152929752,2.4613065023842653,3.4965421321405135,1.9963511850414353,1.8619426964783239,3.7878441503431977,2.3799424140170493,2.389772196051871,3.7341376280853886,1.4518843191163788,2.4530451627289067,3.8969549314420338,2.168701942194516,2.3916978877275197,3.6568073076497685,569.6206935939214,0.10439999999999999,569.6206935939214
0.10729999999999999,0.10729999999999999,1.30450146858952,2.2339988440502685,4.255626438439704,0.08953557001656336,2.8975678469579376,1.884616427779163,1.747848443599087,1.970928591905699,3.423818081724217,1.5576634820504989,2.461981013830281,3.4972722769103446,1.9968886744846575,1.8610634898770049,3.7870446558758326,2.3806113168208687,2.38908567476936,3.7335421788755734,1.4538490033602094,2.4545258520154607,3.8985777511651776,2.1691166073277506,2.3918973415849156,3.6553934158987946,575.9080954811654,0.10729999999999999,575.9080954811654
